Date,BFCIUS Index,PCUSEQTR Index,OPCVTPCR Index,TRADCADS Index,SUM INX Index,SPXVOLC Index,RVOL Index,COR3M Index,CMDIBASS Index,EUR Curncy,MOVE Index,OPCVTOTC Index,OPCVNQP Index,GFSIFFND Index,GFSIRMKT Index,GFSIRSOL Index,GFSIRLIQ Index,NWHLNYHI Index,NWHLNDHI Index,TRADPAUS Index,HFRXED Index,NEIXCTA Index,HFRXEH Index,NQBUY Index,H15X10YR Index
2/15/2022,0.437,0.5,0.779,85887,-1061.41,2311.84,21.88,42.27,300.08,1.1359,94,18686.141,1097.341,0.18,0.13,0.06,0,30,54,43.27,1765.22,2572.428,1475.97,1747,-0.43
2/14/2022,0.199,0.66,0.95,85591,-1067.25,2482.83,21.21,44.87,296.1,1.1307,102.28,18868.16,1375.115,0.18,0.22,0.1,-0.01,16,33,38.15,1763.03,2586.672,1466.5,1720.971,-0.5
2/11/2022,0.639,0.64,0.974,85885,-957.08,2838.05,21.69,44.64,298.17,1.135,94.03,26565.4,2152.319,0.18,0.06,0.08,-0.02,54,44,39.82,1768.27,2569.977,1471.54,1737.913,-0.51
2/10/2022,0.844,0.49,0.779,86192,-903.57,2660.35,20.59,41.52,304.36,1.1428,88.52,26682.891,1758.322,0.17,-0.04,0,-0.05,75,56,41.71,1769.6,2567.618,1478.8,1754.096,-0.42
2/9/2022,0.777,0.44,0.719,86565,-913.24,2385.68,19.85,35.41,296.07,1.1425,81.76,24552.35,1291.672,0.16,-0.1,-0.03,0,81,63,44.83,1767.21,2550.263,1483.18,1785.679,-0.48
2/8/2022,0.699,0.58,0.741,86211,-1011.02,2484.55,19.22,37.64,294.09,1.1415,82.72,20440.23,1161.751,0.13,-0.04,0,0.01,53,68,41.23,1762.1,2545.917,1472.3,1757.59,-0.46
2/7/2022,0.637,0.53,0.715,85953,-1027.2,2349.42,19.06,39.17,293,1.1442,87.44,20517.59,1078.631,0.15,-0.01,0.03,0.07,38,46,38.51,1762.68,2544.429,1466.15,1739.182,-0.48
2/4/2022,0.726,0.61,0.779,85941,-992.5,2603.81,19.03,39.57,291.92,1.1449,87.68,25689.02,1511.696,0.17,-0.03,-0.01,0.03,51,46,38.24,1760.56,2543.676,1465.84,1739.63,-0.48
2/3/2022,0.631,0.75,0.932,86011,-926.53,2627.7,20.1,41.83,289.9,1.144,85.74,20184.301,1549.466,0.1,-0.08,-0.04,0,42,41,38.27,1761.83,2519.677,1462.89,1740.013,-0.56
2/2/2022,0.651,0.52,0.785,86328,-855.24,2867.77,18.43,33.28,291.4,1.1305,84.85,20753.65,1287.171,0.18,-0.16,-0.1,-0.03,55,58,41.84,1764.69,2504.402,1473.49,1762.189,-0.63
2/1/2022,0.565,0.53,0.725,86092,-883.76,2673.34,18.23,35.41,289.53,1.1272,85.22,20010.51,1158.805,0.2,-0.13,-0.1,0.01,39,57,40.82,1760.54,2503.58,1470.11,1748.863,-0.62
1/31/2022,0.418,0.53,0.831,85903,-928.38,2950.08,18.12,39.77,288.74,1.1235,85.14,20740.83,1184.658,0.18,-0.08,-0.07,0.1,18,43,39.23,1756.97,2501.794,1463.15,1731.342,-0.65
1/28/2022,0.329,0.72,0.963,85558,-876.78,2899.79,17.08,42.93,289.34,1.1151,85.29,24315.141,1755.646,0.18,-0.05,-0.06,0.02,11,24,32.08,1751.43,2504.661,1453.39,1705.155,-0.66
1/27/2022,0.374,0.7,0.937,85181,-681.99,3021.87,14.88,45.83,292.47,1.1145,85.62,21042.1,1714.438,0.21,-0.06,-0.07,-0.05,29,29,32.05,1744.92,2495.614,1443.57,1673.356,-0.59
1/26/2022,0.484,0.56,0.794,85325,-377.97,3222.99,14.81,45.91,293.93,1.124,85.75,24610.811,1654.249,0.14,-0.11,-0.11,-0.08,28,32,35.08,1747.09,2477.026,1445.53,1685.578,-0.53
1/25/2022,0.301,0.61,0.799,85527,-104.03,3024.76,15.56,42.87,288.65,1.1301,84.57,20494.221,1453.069,0.19,-0.06,-0.09,-0.04,12,24,37.55,1745.03,2451.619,1444.92,1696.314,-0.63
1/24/2022,0.08,0.67,1.054,85788,150.18,3838.91,15.11,42.52,291.21,1.1326,83.77,29722.359,2472.175,0.2,-0.07,-0.1,-0.02,4,13,38.27,1750.39,2434.856,1449.83,1707.864,-0.63
1/21/2022,0.598,0.82,1.099,85651,420.32,3175.97,15.41,45.12,295.44,1.1344,81.03,29391.75,2390.237,0.21,-0.21,-0.13,-0.08,3,22,41.28,1754.69,2457.25,1453.05,1701.135,-0.59
1/20/2022,0.86,0.62,0.874,85956,713.46,2523.75,15.13,43.22,295.1,1.1312,80.96,24979.33,1611.751,0.2,-0.28,-0.16,-0.08,18,24,41.16,1758.38,2480.814,1462.85,1727.884,-0.5
1/19/2022,0.81,0.55,0.73,86295,936.53,2452.32,15.07,40.35,289.74,1.1343,80.14,24927.23,1368.785,0.21,-0.26,-0.16,-0.09,35,31,45.38,1757.54,2482.213,1467.24,1750.755,-0.57
1/18/2022,0.891,0.52,0.83,86563,1101.31,2718.21,15.07,36.97,286.62,1.1325,84.63,22741.15,1460.293,0.23,-0.27,-0.17,-0.05,80,73,48.48,1760.72,2480.429,1470.17,1770.03,-0.59
1/14/2022,0.973,0.64,0.879,87032,1220.16,2498.96,14.1,32.25,287.81,1.1411,76.59,22984.85,1531.719,0.23,-0.31,-0.21,-0.09,80,76,54.93,1765.11,2468.902,1479.62,1802.911,-0.66
1/13/2022,1.072,0.6,0.711,87112,1218.7,2361.94,15.05,33.27,288.11,1.1455,72.57,23573.449,1465.454,0.24,-0.36,-0.22,-0.08,113,87,54.76,1765.48,2450.75,1480.41,1807.137,-0.73
1/12/2022,1.047,0.49,0.6,87173,1178.12,2083.4,14.49,29.22,287.38,1.1442,74.55,23388.65,1002.237,0.24,-0.38,-0.25,-0.08,100,70,53.96,1765.09,2472.182,1485.97,1821.342,-0.74
1/11/2022,1.04,0.44,0.596,87094,1118.14,2225.31,14.78,29.25,282.79,1.1367,77.85,20942.83,963.937,0.26,-0.36,-0.24,-0.08,78,49,54.01,1762.59,2479.001,1483.14,1815.723,-0.79
1/10/2022,0.904,0.56,0.782,86846,1052.4,2639.86,14.78,29.42,281.34,1.1326,78.12,22354.689,1341.274,0.28,-0.31,-0.22,-0.08,81,80,51.57,1760.02,2469.05,1478.32,1799.092,-0.7
1/7/2022,1.034,0.59,0.736,86985,1066.95,2385.71,14.97,30.76,281.57,1.136,74.69,22959.641,1235.647,0.28,-0.34,-0.24,-0.11,92,90,53.09,1761.57,2480.288,1481.86,1807.487,-0.72
1/6/2022,1.051,0.6,0.69,87012,1030.06,2350.44,14.93,31.81,278.83,1.1297,77.73,24122.26,1356.03,0.28,-0.32,-0.25,-0.1,62,85,52.93,1762.58,2487.405,1485.23,1816.437,-0.73
1/5/2022,1.147,0.57,0.736,86954,992.6,2779.16,16.5,31.31,282.23,1.1314,78.68,25405.77,1446.792,0.32,-0.34,-0.28,-0.1,120,92,52.31,1766.17,2486.349,1486.48,1804.967,-0.82
1/4/2022,1.163,0.47,0.579,87257,972.16,2801.04,15.67,25.91,278.46,1.1287,83.11,23832.92,1138.362,0.35,-0.34,-0.3,-0.08,124,112,56.86,1769.63,2490.313,1497.28,1838.429,-0.91
1/3/2022,1.16,0.43,0.557,87090,824.9,2208.64,15.94,26.41,,1.1297,84.08,22225.289,1014.82,0.37,-0.31,-0.3,-0.07,61,93,54.65,1771.87,2468.073,1496.56,1829.707,-0.97
12/31/2021,1.058,0.55,0.662,87087,659.55,1317.92,16.59,28.21,278.96,1.137,77.1,16682.721,796.033,0.37,-0.32,-0.28,0.05,92,59,52.47,1770.22,2449.377,1494.82,1834.81,-1.04
12/30/2021,1.074,0.49,0.611,87020,496.33,1339.12,17.23,27.07,279.47,1.1325,77.62,17232.92,752.575,0.38,-0.32,-0.28,-0.01,133,77,52.16,1769.7,2465.885,1495.8,1832.886,-1.06
12/29/2021,1.097,0.55,0.652,87148,349.89,1349.92,18.23,25.44,277.91,1.1349,78,15306.15,714.614,0.38,-0.3,-0.28,-0.03,142,89,51.93,1768.03,2472.808,1496.14,1837.597,-0.98
12/28/2021,1.028,0.46,0.599,86973,203.89,1404.7,18.67,26.31,,1.131,77.52,16030.84,702.646,0.36,-0.3,-0.28,0,149,118,51.72,1769.01,2471.596,1493.63,1832.327,-1.01
12/27/2021,1,0.45,0.591,86857,60.82,1479.64,20.24,26.83,,1.1328,80.12,18115.131,768.937,0.37,-0.27,-0.28,-0.02,117,109,51.52,1768.51,2473.797,1494.63,1831.682,-1.02
12/23/2021,0.999,0.49,0.567,86153,-108.86,1581.08,21.14,29.75,276.85,1.1327,77.29,21506.641,897.824,0.36,-0.24,-0.27,-0.02,81,70,49.41,1768.65,2460.886,1488.25,1806.821,-0.97
12/22/2021,0.891,0.47,0.618,85857,-230.71,1835.54,21.04,30.96,276.53,1.1326,76.85,18705.211,887.992,0.44,-0.21,-0.24,-0.02,48,40,47.28,1767.59,2460.989,1487,1798.329,-1.01
12/21/2021,0.814,0.49,0.609,85556,-294.75,2237.14,20.78,35.16,271.03,1.1285,79.52,20716.02,913.974,0.36,-0.16,-0.23,-0.01,36,28,44.99,1762.38,2460.891,1481.6,1781.957,-0.96
