"XLK","XLV","XLY","XLF","XLI","XLP","XLU","XLB","XLE"
38.951958,66.938805,70.489265,17.382868,49.826004,41.339409,35.948788,43.71912,62.754128
39.289001,66.723534,71.446419,17.354279,49.614594,41.347801,36.310692,44.087528,62.396389
39.398319,65.512688,70.820587,17.289942,49.596962,41.120846,35.876404,44.473488,62.327877
39.525848,65.835556,70.572105,17.390013,49.685066,41.162872,36.133762,44.534897,62.639946
39.334541,65.234627,70.093529,17.382868,49.438396,40.79303,35.980957,44.508583,63.127056
38.787991,64.319756,69.311211,17.247065,49.006741,40.658535,35.562767,44.227871,62.929153
39.261673,65.189781,70.268379,17.397163,49.623405,41.028378,35.763821,44.955948,63.073788
39.298111,65.602371,70.415634,17.568703,49.702675,41.087227,36.029205,44.833141,62.913948
38.68779,64.777168,69.679367,17.411453,49.033157,40.759399,35.224991,44.324364,62.137608
38.359833,64.526039,69.394043,17.325687,49.006741,40.885494,35.031979,44.333134,61.894039
38.642235,64.831009,69.752998,17.447193,49.262203,40.986362,35.16066,44.526127,61.224266
39.197906,65.880386,70.498459,17.697359,49.843628,41.330994,35.409962,45.236649,62.228951
38.99749,65.916275,70.185547,17.633032,49.799583,41.162872,35.168701,45.026119,61.056824
38.787991,65.494713,70.056717,17.568703,49.746727,41.070412,35.128487,44.552433,61.338444
38.951958,65.566498,69.614944,17.575848,49.852448,41.053612,34.782669,44.499805,61.178596
39.580505,66.472404,69.927879,17.733103,50.354584,41.684036,35.18478,44.964722,61.155762
39.452972,66.606941,70.489265,17.654469,50.310528,41.818527,35.643185,45.184013,61.399319
39.644268,67.001579,70.756165,17.754541,50.407436,41.684036,35.779907,44.982258,61.452591
39.544071,67.315529,70.737762,17.854603,50.266483,41.574764,35.860329,44.762951,60.577324
39.571392,67.405212,70.6549,17.804573,50.08149,41.482292,35.916615,44.736637,60.691486
39.744465,67.4142,70.931023,17.761688,50.354584,41.574764,35.900543,44.894535,61.262306
39.71714,67.252731,70.811386,17.768837,50.125534,41.398239,35.844246,44.841908,61.041595
39.14325,66.57106,70.305183,17.568703,49.579342,41.070412,35.619061,44.280499,60.074978
39.881115,67.34243,70.829781,17.761688,49.896481,41.330994,35.763821,44.569981,59.968418
39.799129,67.387268,70.710152,17.740238,49.658638,41.272152,35.844246,44.68401,59.732475
39.507622,67.216873,70.222374,17.582994,49.165306,41.011574,35.787945,44.394543,59.663979
39.616947,67.485954,70.424843,17.597292,49.385536,41.011574,35.836212,44.41209,59.511753
39.53495,67.046425,70.581299,17.625885,49.482445,40.902306,35.361713,44.552433,59.922752
39.616947,67.172012,71.133514,17.775984,49.729111,40.87709,34.838959,44.596298,59.511753
39.252556,66.705605,70.627312,17.618738,49.174107,40.582886,34.790699,44.069992,58.704952
39.125042,66.678688,70.424843,17.718805,49.209354,40.002892,34.356422,43.868225,59.115971
38.68779,66.34684,69.927879,17.611584,48.848167,39.986073,34.155376,43.710339,58.781082
38.596687,66.32888,69.854233,17.654469,48.839367,40.179409,34.074947,43.736645,58.773464
39.197906,67.145096,70.572105,17.90464,49.323887,40.574471,34.243839,44.192795,59.496517
39.216122,67.602547,70.811386,17.976107,49.605774,40.557659,34.517269,44.298061,59.230133
38.869961,66.768379,70.489265,17.897495,49.315067,40.397968,34.211674,44.034901,58.56797
38.633125,66.849098,70.157944,17.818867,48.901024,40.103756,34.155376,43.762966,58.430958
38.888187,67.180984,70.581299,17.918934,48.945072,40.540848,34.316223,43.991043,58.887619
38.906403,67.243782,70.903419,17.897495,49.077221,40.759399,34.605736,44.175236,58.743011
39.252556,68.194527,71.759338,18.061888,49.570549,41.213322,35.064144,44.543655,58.704952
38.925892,68.141411,71.507286,17.760374,49.329727,41.155804,34.725739,44.244946,58.160233
39.246155,68.672462,71.904297,18.033167,49.630737,41.31649,34.677044,44.412365,58.872765
39.273605,68.807472,72.190498,18.069063,49.506794,41.138885,34.206352,44.289001,59.064293
39.090607,68.114433,71.691925,17.918308,49.046429,40.952805,33.938549,43.725029,58.696545
38.999104,68.492439,71.636543,17.810629,48.665737,40.876682,33.711315,43.689785,58.098938
38.669685,68.39341,71.92276,17.868053,48.754272,40.961277,33.914196,43.522354,58.290474
37.846146,66.719376,70.297798,17.437328,47.833546,40.326935,33.735657,42.50898,57.187164
37.882748,66.953392,70.611725,17.501936,47.860119,40.259266,33.646385,42.641163,57.585583
38.138954,67.673424,71.414963,17.767553,48.099144,40.7752,33.849274,42.879086,56.850052
38.193851,67.358421,71.276466,17.688585,48.010612,40.74136,34.271278,42.746902,57.102894
38.038311,67.331398,71.137978,17.6168,47.824688,40.707535,34.409229,42.394424,56.352074
38.093204,67.655403,71.756561,17.652697,48.21423,41.544857,35.261353,42.253429,56.865395
37.470985,66.494362,70.390129,17.344004,47.346626,41.079681,35.074699,41.328175,55.716118
37.324577,66.85437,70.685585,17.480406,47.461716,41.113503,34.685158,41.451546,55.999615
37.919342,67.754387,71.710403,17.688585,47.957485,41.595608,34.871815,42.033131,56.306072
38.495827,68.330421,72.744469,17.90395,48.488674,41.984669,34.888042,42.49136,56.704487
38.642239,69.014458,72.836792,17.947025,48.621483,42.052326,34.839359,42.729282,57.110565
38.651398,69.104469,72.762932,18.097778,48.417858,41.942379,35.009777,42.394424,56.10688
39.145512,69.42849,73.206108,18.277248,48.639187,42.37373,35.529156,42.288689,56.183502
39.749435,69.275467,73.076828,18.226999,48.621483,42.348354,35.180191,41.997883,55.501595
39.959888,69.500473,73.113777,18.248539,48.630329,42.424477,35.001656,41.645397,54.766083
39.694534,69.194466,72.882957,18.226999,48.108002,42.322987,34.685158,41.389858,54.789051
39.054005,69.347466,73.23381,18.363394,47.895519,42.416012,34.839359,41.213615,54.344681
38.971645,69.095467,72.799858,18.205462,47.452866,42.25531,34.319969,40.614399,54.298695
38.761185,67.367401,72.799858,18.033167,46.833149,42.018505,34.352428,39.724388,53.256706
38.413475,67.304398,72.255127,17.90395,46.602959,41.99313,34.790642,39.283798,52.490543
38.761185,68.519432,72.818344,17.975739,47.505989,42.466759,34.952965,40.103306,53.992229
39.017406,68.636452,73.566185,18.155205,48.090294,42.61055,35.082817,40.394108,54.72776
39.090607,68.537445,73.833931,18.155205,48.046028,42.466759,35.342506,40.596783,54.344681
38.962498,68.933434,74.064735,18.097778,48.001762,42.551338,35.699581,40.491039,53.157108
38.752033,68.879448,73.815468,18.076237,47.771576,42.61055,35.886242,40.173801,52.03849
38.52327,68.84346,74.129356,18.047523,47.745014,42.61055,35.310036,40.350048,51.862278
38.898441,69.419479,73.326118,18.119314,48.010612,42.982689,35.399311,40.552723,51.471535
38.51413,67.90741,72.328972,18.054699,47.762726,42.661285,35.585964,40.411728,52.291332
38.54158,67.790428,72.273605,18.090601,47.532543,42.424477,36.024193,39.847763,51.35659
39.145512,68.339424,72.855278,18.262884,48.462124,42.585163,35.878113,40.82589,52.996204
38.559868,67.763397,72.199722,18.097778,47.868961,42.43293,36.05666,40.068058,53.095818
38.73373,67.808418,71.885811,17.932667,47.877823,42.458305,36.697777,40.217865,54.061192
38.623936,67.655403,72.3013,17.99728,47.842403,42.289162,36.705887,40.103306,53.241375
38.81609,67.844406,72.347466,18.126492,48.14341,42.424477,36.981808,40.288361,53.126457
39.035698,68.528442,73.039909,18.16239,48.382442,42.466759,37.160339,40.517471,53.241375
38.834396,68.429436,73.104553,18.148027,48.293922,42.25531,37.071083,40.25312,53.042187
38.578178,68.150421,72.975296,17.982918,47.842403,41.866261,37.225273,39.759651,51.578796
37.635685,66.566383,70.925629,17.602438,46.850842,41.485657,37.006153,39.010624,50.414204
36.199078,64.532295,68.654388,16.970705,45.558292,40.352303,36.559807,38.058933,48.652016
34.77161,61.787209,65.91227,16.245649,43.938171,38.948307,35.188313,36.463959,46.039352
34.497101,61.16618,65.644508,16.030279,43.362705,38.652283,34.108955,35.891182,45.372784
36.235672,63.749275,68.137352,16.633297,44.717236,39.794083,34.717621,36.8605,46.935772
37.077518,64.991325,69.734604,17.042492,45.797329,40.377686,35.12339,38.199917,49.257282
37.150719,64.622299,69.762306,16.963526,45.815037,40.293098,35.017895,38.420223,50.375896
36.812149,63.443241,69.226807,16.819954,45.407795,40.013996,34.457928,38.208744,50.896893
35.631729,61.778202,67.472595,16.274366,44.203754,39.193581,33.524662,37.045555,49.104046
36.491882,63.047256,68.894455,16.496906,45.186451,39.726433,33.549,37.574265,49.556091
36.519333,62.597252,68.922142,16.590227,45.213017,39.997086,33.70319,37.803391,49.694008
35.961155,61.814209,68.18351,16.260004,44.584442,39.345821,33.240616,37.054367,48.874207
36.967712,63.542252,69.762306,16.676376,45.815037,40.166233,33.946655,37.979614,49.640373
36.482731,62.561253,69.014458,16.446651,45.328114,39.506523,33.524662,37.688828,48.705643
36.84874,63.164242,69.208336,16.525621,45.354671,39.574181,33.467854,37.776947,48.989128
37.02261,63.569271,69.725395,16.597406,45.602562,39.836372,33.719425,37.724075,48.552402
36.931103,63.371258,69.356087,16.561514,45.372372,39.709518,33.800575,37.274666,48.131008
37.406929,64.280304,70.085449,16.798416,46.160305,40.183147,33.979122,37.547844,48.667332
37.562473,64.460289,70.87944,16.906097,46.496727,40.639874,34.319969,38.085369,50.046448
37.306274,65.045303,71.064133,16.669191,46.29311,40.639874,34.790642,37.909126,50.015793
36.821873,64.052612,69.932549,16.346737,45.270378,40.169987,34.594875,37.109867,48.702156
37.189537,63.203491,70.544212,16.534296,45.492916,40.467918,34.734131,37.233917,48.980003
36.564503,62.81509,69.608177,16.325094,44.834229,40.025272,34.29995,36.542755,48.462872
36.656422,62.75185,69.422852,16.332306,44.522709,40.093372,34.390068,35.762997,47.837704
36.656422,62.110512,69.237503,16.216883,44.246765,40.161472,34.668606,35.66552,48.046101
36.592083,60.412323,69.22821,16.454943,44.335781,40.416851,35.004471,35.62122,48.138718
35.755646,58.072777,67.23571,16.072605,43.46349,39.820965,34.832428,34.513592,46.216869
35.599373,58.605736,67.013298,16.101463,43.74831,39.803955,34.84063,34.646507,46.147408
36.307137,59.825191,68.82045,16.346737,44.406979,40.169987,35.463226,35.373116,47.235683
36.32552,60.430378,69.33017,16.353951,44.309078,40.169987,35.045429,35.771858,47.3283
36.84026,61.685974,70.3218,16.375591,44.869839,40.723293,35.512371,36.649094,49.281013
37.566399,61.84856,71.359749,16.721861,46.142677,41.421314,35.97113,37.606079,50.770641
37.612343,60.394253,70.831497,16.642504,46.098179,41.140388,35.725368,38.093437,51.897503
37.786999,61.360771,71.072472,16.772354,46.703438,41.514942,35.602493,38.598511,52.553555
37.961632,61.541435,71.943604,16.87335,47.353218,42.008663,36.044849,39.139027,53.556931
38.127079,61.821457,72.027023,16.765141,47.513432,42.102295,35.872826,39.121315,53.20961
38.173038,61.984055,72.369904,16.779564,47.522327,42.212967,36.192307,38.784599,52.522686
38.090313,61.207214,71.980667,16.649721,47.014984,41.957596,36.11039,38.633953,51.974682
38.016788,61.089802,71.248535,16.512659,46.507614,41.472382,36.102196,38.944088,52.422348
38.503944,62.453762,72.175285,16.887775,47.014984,41.846924,36.634686,39.050426,53.363979
38.577473,63.013828,72.55526,16.988771,46.774647,42.247013,36.683826,39.06815,53.433437
38.724548,63.239643,72.898148,16.974342,46.836964,42.434284,36.708408,38.793457,52.37603
38.623432,62.245995,72.805496,17.075338,47.148495,42.408745,36.831295,38.855484,52.522686
38.329311,61.685974,72.481102,16.952705,47.157391,42.417259,36.757553,38.509903,51.874348
39.193325,61.315609,73.435661,17.226833,48.474735,43.259983,37.183537,39.564365,52.80827
40.287136,62.625385,73.797089,17.414396,48.65276,43.191891,36.528187,39.89222,52.684765
40.130878,62.869274,74.316093,17.342253,48.545944,43.106754,36.397114,39.564365,51.395813
39.901081,64.025497,73.963921,17.241259,48.011887,43.166344,36.266041,39.396011,50.778362
40.498543,64.558441,74.668243,17.645237,48.394619,42.919487,35.881016,39.989685,51.905231
40.388245,64.847504,74.881432,17.623598,48.367924,42.936512,35.676216,40.069439,52.167641
